indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
————————————,10801,species,768346,A.Apomys camiguinensis,768346,B.Apomys camiguinensis,=,,,,scientificName,,tip
————————————,10802,species,932750,A.Apomys abrae,932750,B.Apomys abrae,=,,,,scientificName,,tip
————————————,10803,species,932751,A.Apomys sp. SJS-2010a,932751,B.Apomys aurorae,=,,,,ncbi_id,canonicalName,tip
————————————,10804,species,932752,A.Apomys sp. SJS-2010b,932752,B.Apomys banahao,=,,,,ncbi_id,canonicalName,tip
————————————,10805,species,932753,A.Apomys sp. SJS-2010c,932753,B.Apomys brownorum,=,,,,ncbi_id,canonicalName,tip
————————————,10806,species,932754,A.Apomys sp. SJS-2010d,932754,B.Apomys magnus,=,,,,ncbi_id,canonicalName,tip
————————————,10807,species,932761,A.Apomys sp. SJS-2010e,932761,B.Apomys minganensis,=,,,,ncbi_id,canonicalName,tip
————————————,10808,species,932762,A.Apomys sp. SJS-2010f,932762,B.Apomys sierrae,=,,,,ncbi_id,canonicalName,tip
————————————,10809,species,932763,A.Apomys sp. SJS-2010g,932763,B.Apomys zambalensis,=,,,,ncbi_id,canonicalName,tip
————————————,10810,species,1595964,A.Apomys sacobianus,1595964,B.Apomys sacobianus,=,,,,scientificName,,tip
————————————,10811,species,1595965,A.Apomys lubangensis,1595965,B.Apomys lubangensis,=,,,,scientificName,,tip
————————————,10812,species,1595966,A.Apomys iridensis,1595966,B.Apomys iridensis,=,,,,scientificName,,tip
————————————,10813,species,,,2028557,B.Apomys littoralis,,,,,,,
————————————,10814,,,,2638486,B.unclassified Apomys,particle-set<=,238001,A.Apomys,split,monotypic,,
—————————————,10815,species,238008,A.Apomys sp. F,238008,B.Apomys sp. F,=,,,moved,canonicalName,,tip
—————————————,10816,species,238010,A.Apomys sp. AC,238010,B.Apomys sp. AC,=,,,moved,canonicalName,,tip
